Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,461129,70842,19979,119202,59016,18897,12490,75827,15894335,31939,9713,213759,52648,107060,25335,77146,63250,177780,12686,88334,64559
500,192247,64746,27513,44222,44133,19603,16620,338997,119085,32601,9390,457477,59282,258686,23406,292344,57956,319672,10090,237629,177785
750,224603,67571,31033,64734,42090,14408,15128,783302,74508,32234,9146,1341216,215563,498690,25373,649971,54069,499527,9494,422087,302803
1000,137913,70075,33590,40432,186974,14141,25128,1073516,84721,34215,9017,3554945,49507,1467041,23854,1102943,40341,699878,9237,617192,602666
1250,134555,72062,32454,37410,86063,13799,13239,1389372,49225,34363,9165,2600558,44210,2095048,23780,1606078,57578,903997,8959,788624,560158
1500,163968,74662,30500,36595,171473,15472,14175,1594438,49793,32675,8992,3307780,119630,2565113,28498,1716529,35409,1076434,8198,964959,1213449
1750,144404,74767,30401,39257,227236,13323,13627,1893863,78218,32670,8117,3504515,49835,3063106,26079,3480340,39069,1272253,8680,1151265,1018876
2000,139115,76317,30384,37043,98606,13125,15061,2388878,109738,32978,7550,5467747,47783,3539833,25093,2572865,50522,1504536,8670,1312649,875320
2250,218440,77905,30463,47105,173580,13910,13481,3454731,152301,33568,8184,7096009,44932,3942406,26920,2650713,90365,1672201,8420,1445127,979169
2500,233802,80222,30420,35531,67197,16061,14544,3286711,48451,32782,8196,5715576,44265,4311622,28373,2929317,35396,1947768,8780,1625189,1107837
2750,260930,81776,31075,36155,64454,15633,13812,3172417,106703,38210,9390,6691915,45737,4534757,29019,3565858,35920,2085997,8670,1816451,1227539
3000,213920,83665,33937,36744,48526,17677,14429,3482065,58427,37491,11172,6448519,44301,5397880,27343,4199636,34771,2279210,8786,1961538,1360229
3250,205954,87178,36701,56237,47636,16228,16680,3594609,213778,37644,10909,6831120,46152,5615198,28211,3807943,35099,2483419,8016,2231556,1715836
3500,247135,90829,36786,45724,56063,15355,15686,3974255,48385,40527,9153,7537623,45423,6485550,27646,4174982,36706,2615949,8263,2387678,2657345
3750,270482,125172,38021,36574,85833,16723,17409,4171725,47312,39753,9130,8473111,46636,6843373,26326,4970641,37393,2789367,7529,2556568,3218861
4000,271712,88038,39391,45028,67724,14679,20335,4375287,46622,43855,9130,9558065,426826,7283720,25027,5259223,35098,2994368,8014,2747287,2357387
4250,395485,89388,39007,45061,344628,24145,27520,4680007,47610,45546,9163,10933576,80052,7729674,21925,5877238,139547,3248161,8282,2876928,1925416
4500,295768,89936,39380,46414,57760,13791,22044,4935093,50770,43493,9141,11255363,61388,8288882,24501,6551873,36348,3340621,8547,3053445,2367426
4750,212995,92797,39912,43928,461202,14165,23848,5200384,59234,45318,9286,13339838,73925,8666434,20227,7379547,35843,3559359,7901,3248330,2171597
